2025-11-05 21:15:15,963 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:29,212 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:30,022 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:36,841 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:36,949 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-09 12:45:00
2025-11-05 21:15:36,950 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-09 12:55:00
2025-11-05 21:15:36,950 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-09 13:05:00
2025-11-05 21:15:36,950 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-09 13:10:00
2025-11-05 21:15:36,950 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-09 13:20:00
2025-11-05 21:15:36,951 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-09 13:30:00
2025-11-05 21:15:36,951 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-09 13:40:00
2025-11-05 21:15:36,951 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-09 13:45:00
2025-11-05 21:15:36,951 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-09 17:50:00
2025-11-05 21:15:36,951 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-10 09:15:00
2025-11-05 21:15:36,951 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-10 09:25:00
2025-11-05 21:15:36,951 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-10 10:50:00
2025-11-05 21:15:36,952 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-10 10:55:00
2025-11-05 21:15:36,952 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-10 11:05:00
2025-11-05 21:15:36,952 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-10 11:25:00
2025-11-05 21:15:36,952 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-10 11:30:00
2025-11-05 21:15:36,953 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-10 11:45:00
2025-11-05 21:15:36,953 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-10 11:50:00
2025-11-05 21:15:36,953 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-10 16:15:00
2025-11-05 21:15:36,954 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-10 16:35:00
2025-11-05 21:15:36,954 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-10 16:40:00
2025-11-05 21:15:36,954 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-10 19:20:00
2025-11-05 21:15:36,954 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-10 19:25:00
2025-11-05 21:15:36,955 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-10 19:35:00
